|Class| Frequency| dorico_event_id| clef_type| clef_hotspot| lef_required_stave_lines| clef_stave_position| staff_id| dorico_event_ids| grace_note| duration_beats| onset_beats| pitch_octave| midi_pitch_code| normalized_pitch_step| time_signature_description| | | text|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|accidentalDoubleFlat| 244| | | | | | x| | | | | | | | | | | |
|accidentalDoubleSharp| 330| | | | | | x| | | | | | | | | | | |
|accidentalFlat| 12705| | | | | | x| | | | | | | | | | | |
|accidentalKomaFlat| 5| | | | | | x| | | | | | | | | | | |
|accidentalKomaSharp| 5| | | | | | x| | | | | | | | | | | |
|accidentalNatural| 11137| | | | | | x| | | | | | | | | | | |
|accidentalQuarterToneFlatStein| 162| | | | | | x| | | | | | | | | | | |
|accidentalQuarterToneSharpStein| 191| | | | | | x| | | | | | | | | | | |
|accidentalSharp| 12908| | | | | | x| | | | | | | | | | | |
|accidentalThreeQuarterTonesFlatZimmermann| 1| | | | | | x| | | | | | | | | | | |
|accidentalThreeQuarterTonesSharpStein| 27| | | | | | x| | | | | | | | | | | |
|accidentalTripleFlat| 1| | | | | | x| | | | | | | | | | | |
|accidentalTripleSharp| 1| | | | | | x| | | | | | | | | | | |
|articAccentAbove| 1477| | | | | | x| | | | | | | | | | | |
|articAccentBelow| 1916| | | | | | x| | | | | | | | | | | |
|articMarcatoAbove| 278| | | | | | x| | | | | | | | | | | |
|articMarcatoBelow| 34| | | | | | x| | | | | | | | | | | |
|articStaccatissimoAbove| 536| | | | | | x| | | | | | | | | | | |
|articStaccatissimoBelow| 414| | | | | | x| | | | | | | | | | | |
|articStaccatoAbove| 5018| | | | | | x| | | | | | | | | | | |
|articStaccatoBelow| 6108| | | | | | x| | | | | | | | | | | |
|articTenutoAbove| 823| | | | | | x| | | | | | | | | | | |
|articTenutoBelow| 735| | | | | | x| | | | | | | | | | | |
|augmentationDot| 2762| | | | | | | | | | | | | | | | | |
|barline| 28142| | | | | | | | | | | | | | | | | |
|beam| 52539| | | | | | x| x| | | | | | | | | | |
|cClef| 1161| x| x| x| x| x| x| | | | | | | | | | | |
|dynamicFF| 242| | | | | | x| | | | | | | | | | | |
|dynamicFFF| 88| | | | | | x| | | | | | | | | | | |
|dynamicFFFF| 4| | | | | | x| | | | | | | | | | | |
|dynamicForte| 777| | | | | | x| | | | | | | | | | | |
|dynamicFortePiano| 60| | | | | | x| | | | | | | | | | | |
|dynamicForzando| 35| | | | | | x| | | | | | | | | | | |
|dynamicMF| 1803| | | | | | x| | | | | | | | | | | |
|dynamicMP| 185| | | | | | x| | | | | | | | | | | |
|dynamicPiano| 3987| | | | | | x| | | | | | | | | | | |
|dynamicPP| 1807| | | | | | x| | | | | | | | | | | |
|dynamicPPP| 93| | | | | | x| | | | | | | | | | | |
|dynamicPPPP| 13| | | | | | x| | | | | | | | | | | |
|dynamicRinforzando2| 5| | | | | | x| | | | | | | | | | | |
|dynamicSforzato| 236| | | | | | x| | | | | | | | | | | |
|dynamicSforzatoFF| 6| | | | | | x| | | | | | | | | | | |
|dynamicText| 110| | | | | | x| | | | | | | | | | | x|
|fClef| 3543| x| x| x| x| x| x| | | | | | | | | | | |
|flag16thDown| 430| | | | | | x| | x| | | | | | | | | |
|flag16thUp| 18245| | | | | | x| | x| | | | | | | | | |
|flag32ndDown| 31| | | | | | x| | x| | | | | | | | | |
|flag32ndUp| 7264| | | | | | x| | x| | | | | | | | | |
|flag64thUp| 10| | | | | | x| | x| | | | | | | | | |
|flag8thDown| 3672| | | | | | x| | x| | | | | | | | | |
|flag8thUp| 8113| | | | | | x| | x| | | | | | | | | |
|gClef| 12278| x| x| x| x| x| x| | | | | | | | | | | |
|gradualDynamic| 7084| | | | | | x| | | | | | | | | | | |
|kStaffLine| 160426| | | | | | x| | | | | | | | | | | |
|mensuralNoteheadMinimaWhite| 9| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadBlack| 247741| x| | | | | x| | x| x| x| x| x| x| | | | |
|noteheadDiamondWhole| 8| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadDoubleWholeSquare| 3| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadHalf| 8648| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadTriangleUpBlack| 27| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadTriangleUpHalf| 3| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadWhole| 1502| x| | | | | x| | | x| x| x| x| x| | | | |
|noteheadXBlack| 81| x| | | | | x| | | x| x| x| x| x| | | | |
|ornamentMordent| 7| x| | | | | x| | | | | | | | | | | |
|ornamentTrill| 58| x| | | | | x| | | | | | | | | | | |
|ornamentTurn| 6| x| | | | | x| | | | | | | | | | | |
|rest| 4| | | | | | | | | | | | | | | | | |
|rest16th| 29411| | | | | | | | | | | | | | | | | |
|rest32nd| 10218| | | | | | | | | | | | | | | | | |
|rest64th| 4| | | | | | | | | | | | | | | | | |
|rest8th| 24124| | | | | | | | | | | | | | | | | |
|restHalf| 1376| | | | | | | | | | | | | | | | | |
|restQuarter| 13223| | | | | | | | | | | | | | | | | |
|restWhole| 14382| | | | | | | | | | | | | | | | | |
|slur| 13928| x| | | | | x| | | | | | | | | | | |
|stem| 227889| | | | | | x| | | | | | | | | | | |
|systemicBarline| 2078| | | | | | | | | | | | | | | | | |
|tie| 8626| x| | | | | x| | | | | | | | | | | |
|timeSig1| 2| x| | | | | x| | | | | | | | x| | | |
|timeSig2| 1084| x| | | | | x| | | | | | | | x| | | |
|timeSig3| 1203| x| | | | | x| | | | | | | | x| | | |
|timeSig4| 2674| x| | | | | x| | | | | | | | x| | | |
|timeSig5| 507| x| | | | | x| | | | | | | | x| | | |
|timeSig6| 246| x| | | | | x| | | | | | | | x| | | |
|timeSig7| 125| x| | | | | x| | | | | | | | x| | | |
|timeSig8| 1661| x| | | | | x| | | | | | | | x| | | |
|timeSig9| 79| x| | | | | x| | | | | | | | x| | | |
|timeSigCommon| 206| x| | | | | x| | | | | | | | x| | | |
|timeSigCutCommon| 113| x| | | | | x| | | | | | | | x| | | |
|timeSignatureComponent| 443| x| | | | | x| | | | | | | | x| | | |
|tupletBracket| 4970| x| | | | | x| | | | | | | | | | | |
|tupletText| 4900| x| | | | | x| | | | | | | | | | | x|
|unpitchedPercussionClef1| 223| x| x| x| x| x| x| | | | | | | | | | | |
|wiggleTrill| 45| x| | | | | x| | | | | | | | | | | |